uf,rank_uf,municipio,regiao_turistica,vocacao,bioma,sazonalidade,relevancia_zion,nota
SC,1,Florianópolis,Grande Florianópolis,praia urbana,Mata Atlântica,verão,media,"Capital e maior fluxo do estado; alta densidade hoteleira, entrada cara"
SC,2,Balneário Camboriú,Costa Verde e Mar,praia alto padrão,Mata Atlântica,verão,baixa,"Verticalizado; modelo Zion não dialoga com o produto local"
SC,3,Bombinhas,Costa Verde e Mar,praia e mergulho,Mata Atlântica,verão,alta,"Área preservada, restrição construtiva favorece produto de baixa densidade"
SC,4,Urubici,Serra Catarinense,serra e montanha,Mata Atlântica,inverno,alta,"Praça da operação própria; conhecimento de campo já instalado"
SC,5,São Joaquim,Serra Catarinense,neve e vinho de altitude,Mata Atlântica,inverno,alta,"Enoturismo de altitude em formação; terreno ainda acessível"
SC,6,Blumenau,Vale Europeu,cultural germânica,Mata Atlântica,outubro,baixa,"Demanda concentrada em evento; ocupação irregular no resto do ano"
SC,7,Praia Grande,Serra Catarinense,cânions,Mata Atlântica,ano todo,alta,"Portal dos cânions pelo lado catarinense; oferta ainda rústica"
SC,8,Garopaba,Encantos do Sul,surf e baleias,Mata Atlântica,verão,alta,"Público de maior renda, demanda por produto autoral"
SC,9,Bom Jardim da Serra,Serra Catarinense,serra e cânions,Mata Atlântica,inverno,alta,"Serra do Rio do Rastro; vista rara e pouca oferta qualificada"
SC,10,Imbituba,Encantos do Sul,baleia franca e surf,Mata Atlântica,inverno,alta,"Temporada de baleia inverte a sazonalidade do litoral"
SC,11,Penha,Costa Verde e Mar,parque temático,Mata Atlântica,verão,baixa,"Demanda de parque, ticket e perfil não aderentes"
SC,12,Lages,Serra Catarinense,turismo rural,Mata Atlântica,inverno,media,"Berço do turismo rural brasileiro; fazendas com estrutura ociosa"
SC,13,Pomerode,Vale Europeu,cultural germânica,Mata Atlântica,ano todo,media,"Cidade mais alemã do Brasil; fluxo constante e menor"
SC,14,Itapema,Costa Verde e Mar,praia,Mata Atlântica,verão,baixa,"Adensamento vertical acelerado"
SC,15,Treze Tílias,Meio Oeste,cultural austríaca,Mata Atlântica,ano todo,media,"Nicho cultural definido, escala pequena"
SC,16,Joinville,Caminho dos Príncipes,eventos e negócios,Mata Atlântica,ano todo,baixa,"Demanda corporativa, não de experiência"
SC,17,Governador Celso Ramos,Grande Florianópolis,praia e costa,Mata Atlântica,verão,alta,"Costeira preservada a 40 min da capital"
SC,18,Rancho Queimado,Grande Florianópolis,rural de serra,Mata Atlântica,inverno,alta,"Proximidade da capital com paisagem de serra"
SC,19,Nova Trento,Vale Europeu,religioso,Mata Atlântica,ano todo,media,"Santuário Santa Paulina; fluxo alto e ticket baixo"
SC,20,Porto Belo,Costa Verde e Mar,praia e ilha,Mata Atlântica,verão,media,"Ilha de Porto Belo; oferta náutica"
RS,1,Gramado,Serra Gaúcha,serra e eventos,Mata Atlântica,ano todo,media,"Maior destino serrano do país; entrada muito disputada e cara"
RS,2,Canela,Serra Gaúcha,serra e natureza,Mata Atlântica,ano todo,alta,"Vizinha de Gramado com terreno mais viável e mesma demanda"
RS,3,Bento Gonçalves,Uva e Vinho,enoturismo,Mata Atlântica,vindima,alta,"Vale dos Vinhedos; enoturismo maduro e ticket alto"
RS,4,Cambará do Sul,Campos de Cima da Serra,cânions,Mata Atlântica,ano todo,alta,"Itaimbezinho e Fortaleza; oferta muito abaixo da demanda"
RS,5,Porto Alegre,Capital,urbano e negócios,Pampa,ano todo,baixa,"Demanda corporativa"
RS,6,Torres,Litoral Norte,praia e falésias,Mata Atlântica,verão,media,"Único litoral gaúcho com relevo; balonismo"
RS,7,Nova Petrópolis,Serra Gaúcha,cultural germânica,Mata Atlântica,ano todo,media,"Fluxo de passagem entre Gramado e Caxias"
RS,8,Garibaldi,Uva e Vinho,espumante,Mata Atlântica,vindima,alta,"Capital do espumante; Maria Fumaça"
RS,9,São Francisco de Paula,Campos de Cima da Serra,rural e araucárias,Mata Atlântica,inverno,alta,"Campos de Cima da Serra; grandes áreas ainda disponíveis"
RS,10,Caxias do Sul,Uva e Vinho,urbano e vinho,Mata Atlântica,ano todo,baixa,"Cidade industrial, demanda de negócios"
RS,11,Capão da Canoa,Litoral Norte,praia,Mata Atlântica,verão,baixa,"Sazonalidade extrema"
RS,12,Xangri-lá,Litoral Norte,praia alto padrão,Mata Atlântica,verão,media,"Atlântida; público de alta renda mas temporada curta"
RS,13,Antônio Prado,Uva e Vinho,patrimônio italiano,Mata Atlântica,ano todo,alta,"Maior acervo de casario italiano do país; subexplorado"
RS,14,São Miguel das Missões,Missões,patrimônio UNESCO,Pampa,ano todo,media,"Sítio arqueológico jesuítico; acesso distante"
RS,15,Pelotas,Costa Doce,histórico e gastronomia,Pampa,ano todo,media,"Casario e doces coloniais"
RS,16,Bagé,Costa Doce e Pampa,pampa e estâncias,Pampa,ano todo,alta,"Estâncias com potencial de conversão; pampa autêntico"
RS,17,Santa Cruz do Sul,Vale do Rio Pardo,cultural germânica,Mata Atlântica,outubro,baixa,"Demanda concentrada em Oktoberfest"
RS,18,Flores da Cunha,Uva e Vinho,vinho,Mata Atlântica,vindima,media,"Maior produtora de vinho do país em volume"
RS,19,Veranópolis,Uva e Vinho,rural e longevidade,Mata Atlântica,ano todo,media,"Narrativa de longevidade ainda não explorada em hospitalidade"
RS,20,Jaguarão,Costa Doce,fronteira e patrimônio,Pampa,ano todo,baixa,"Patrimônio nacional; fluxo baixo"
PR,1,Foz do Iguaçu,Cataratas e Caminhos,natureza internacional,Mata Atlântica,ano todo,media,"Segundo maior fluxo internacional do Brasil; mercado hoteleiro saturado"
PR,2,Curitiba,Curitiba e Região,urbano e negócios,Mata Atlântica,ano todo,baixa,"Demanda corporativa"
PR,3,Morretes,Litoral do Paraná,serra e gastronomia,Mata Atlântica,ano todo,alta,"Trem da Serra do Mar; Mata Atlântica preservada"
PR,4,Guaraqueçaba,Litoral do Paraná,ecoturismo,Mata Atlântica,ano todo,alta,"Maior remanescente contínuo de Mata Atlântica; oferta quase inexistente"
PR,5,Antonina,Litoral do Paraná,histórico e baía,Mata Atlântica,ano todo,alta,"Casario colonial na baía; subexplorado"
PR,6,Tibagi,Campos Gerais,cânion e rafting,Mata Atlântica,ano todo,alta,"Cânion Guartelá, um dos maiores do mundo em extensão"
PR,7,Prudentópolis,Caminhos do Guartelá,cachoeiras,Mata Atlântica,ano todo,alta,"Terra das Cachoeiras Gigantes; oferta rústica"
PR,8,Ponta Grossa,Campos Gerais,formações rochosas,Mata Atlântica,ano todo,media,"Parque de Vila Velha"
PR,9,Ilha do Mel (Paranaguá),Litoral do Paraná,ilha preservada,Mata Atlântica,verão,media,"Restrição total de construção; entrada difícil"
PR,10,Guaratuba,Litoral do Paraná,praia,Mata Atlântica,verão,baixa,"Sazonalidade extrema"
